Index,Title,Year,Rating,Genre,Synopsis
2.,Puss in Boots: The Last Wish,2022,7.9,Animation,No Synopsis
4.,Strange World,2022,5.6,Animation,No Synopsis
52.,DC League of Super-Pets,2022,7.1,Animation,No Synopsis
54.,Luca,2021,7.4,Animation,No Synopsis
61.,Perfect Blue,1997,8,Animation,No Synopsis
65.,Lightyear,2022,6.1,Animation,No Synopsis
77.,Demon Slayer the Movie: Mugen Train,2020,8.2,Animation,No Synopsis
93.,Alvin and the Chipmunks,2007,5.2,Animation,No Synopsis
94.,Megamind,2010,7.3,Animation,No Synopsis
